,Ingredient,id,cal/g,fat(g),carb(g),protein(g),vit_a,vit_c,iron,trans_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugars,calcium,protein,energy,fdcID
493,swiss cheese,199,3.799,0.282,0.052,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,swordfish,150,1.718,0.079,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,syrup,67,2.6,0.001,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,tabouli,119,0.85,0.045,0.107,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,taco salad,492,1.57,0.085,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,taco shells,451,4.76,0.22,0.63,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,tacos,117,2.26,0.13,0.201,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,tahini,253,5.956,0.535,0.211,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,tamales,167,1.528,0.06,0.181,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,taquitos,500,2.86,0.13,0.34,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,tatsoi,522,0.22,0.003,0.039,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,tea,490,0.01,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,tempeh,177,1.929,0.109,0.093,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,tempura,509,1.05,0.039,0.11,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,teriyaki sauce,393,0.89,0.0,0.16,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,thyme,518,1.01,0.017,0.24,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,tilapia,135,1.288,0.027,0.0,0.261,0.0,0.009482758620689657,0.64,0.0,0.011551724137931036,45.0,3.8448275862068964,1.79,0.0,0.0,0.15517241379310345,0.16163793103448276,116.0,2016165.0
510,toast,287,3.131,0.042,0.555,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,tofu,50,0.73,0.048,0.019,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294522.0
512,tomatillo,541,0.32,0.01,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,tomato soup,426,0.35,0.002,0.074,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,tomatoes,32,0.34,0.007,0.068,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315303.0
515,tortellini,242,3.072,0.072,0.47,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,tortilla,60,2.18,0.029,0.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,tortilla chips,251,4.642,0.153,0.737,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,tostadas,216,1.48,0.078,0.132,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,trail mix,274,4.62,0.286,0.454,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,trout,285,1.409,0.06,0.0,0.201,0.0,0.0,9.28,0.0,0.017370370370370373,125.0,0.21851851851851853,0.0,0.0,0.0,0.46296296296296297,0.06655555555555555,270.0,2018056.0
521,tuna,402,1.3,0.006,0.0,0.29,377.0,0.06063829787234043,0.68,0.0,0.005,5.0,4.712765957446808,10.38,0.009574468085106383,0.06021276595744681,0.40425531914893614,0.06021276595744681,94.0,2068771.0
522,tuna salad,141,1.87,0.092,0.092,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,turkey,18,1.89,0.07,0.001,0.29,530.0,0.0,1.14,0.0,0.005185185185185185,34.0,6.432098765432099,6.78,0.016049382716049384,0.020864197530864197,0.5185185185185185,0.12037037037037036,81.0,1857258.0
524,turkey bacon,80,3.797,0.281,0.031,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,turkey breast,147,1.891,0.071,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,turnips,342,0.217,0.001,0.051,0.007,0.0,0.0,1.18,0.0,0.0,0.0,0.5142857142857142,5.88,0.06857142857142857,0.03371428571428571,2.657142857142857,0.06714285714285714,35.0,2402666.0
527,turnover,346,1.781,0.081,0.256,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,veal,143,1.72,0.076,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,vegetable juice,504,0.22,0.003,0.039,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,vegetable oil,221,8.864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,veggie burgers,225,1.771,0.061,0.141,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,vinaigrette,338,4.655,0.518,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,vinegar,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,vodka,233,2.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,wafers,195,4.334,0.144,0.726,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,waffles,337,2.903,0.143,0.327,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,walnuts,124,6.533,0.642,0.139,0.151,0.0,0.0,2.57,0.0,0.00833592534992224,0.0,0.027993779160186624,17.86,0.005598755832037325,0.005552099533437014,0.1104199066874028,0.02222395023328149,643.0,1905338.0
538,water,321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,water chestnuts,483,0.3,0.001,0.068,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,watermelon,121,0.3,0.002,0.076,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,wheat beer,396,0.43,0.0,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,wheat berry,514,0.91,0.005,0.191,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,wheat bread,245,2.468,0.033,0.421,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,white beans,542,1.39,0.004,0.251,0.097,0.0,0.0,2.08,0.0,0.0,0.0,3.4352941176470586,14.62,0.05411764705882353,0.0,0.7294117647058823,0.07235294117647059,85.0,2032273.0
545,white bread,334,2.649,0.032,0.489,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,white rice,26,1.3,0.003,0.28,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,white wine,428,0.82,0.0,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,whole wheat bread,169,2.468,0.033,0.421,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,wild rice,9,1.19,0.004,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,wine,92,0.85,0.0,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,wraps,401,3.25,0.071,0.56,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,yam,192,1.241,0.002,0.294,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,yogurt,262,0.589,0.004,0.036,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,zucchini,485,0.15,0.004,0.027,0.011,0.0,0.6,0.44,0.0,0.0,0.0,0.0,4.21,0.05238095238095238,0.15047619047619049,1.0,0.05,21.0,2428955.0
